episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
21,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,1.1925921154717276,45.666559366079476,0.5909090909090909,0.05420873252144216,66.08401750632319,790.1301193237305,43.16317938387636,215.0,202.77754402160645,33,60,75,8,91.0,72.0,52.0,215.0,1.0,True,True
22,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,1.5235224172136759,54.310232639312744,0.5714285714285714,0.05441151490048842,69.33570183729732,1114.479871749878,46.85092368591725,298.0,241.0344284772873,31,82,82,29,101.0,101.0,96.0,298.0,1.0,True,True
23,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,4.66367357459898,47.04679936376111,0.58,0.0932734714919796,69.52229989206424,1903.288634300232,94.91581571679845,514.0,481.95527243614197,76,136,167,21,216.0,162.0,136.0,514.0,1.0,True,True
24,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,6.446006171691045,50.75083096822103,0.72,0.1289201234338209,63.55050979617953,1819.3797507286072,75.4296475528121,529.0,376.8580458164215,67,130,158,45,215.0,169.0,145.0,529.0,1.0,True,True
25,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,5.165103900277723,49.03846894541094,0.62,0.10330207800555445,63.52118996755253,1768.7085247039795,81.23531845590401,521.0,402.55782675743103,79,115,169,37,220.0,162.0,139.0,521.0,1.0,True,True
26,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,4.901849395151221,49.16762275695801,0.6,0.09803698790302443,66.52127006033822,1842.9417219161987,84.63625618463567,523.0,437.74276208877563,83,124,165,28,206.0,171.0,146.0,523.0,1.0,True,True
27,small,small_balanced_train_a,train,strict_connectivity_plus_capacity_plus_bandwidth,2.6246154811420945,47.52970571103303,0.5476190476190477,0.062490844789097486,66.12543732972921,1553.777626991272,72.91754664920998,414.0,368.2865979671478,70,110,132,24,169.0,132.0,113.0,414.0,0.0,True,False
28,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,4.2804776741910056,52.903064250946045,0.56,0.08560955348382011,69.34593856605156,2060.2531242370605,79.08334188270923,554.0,386.9802315235138,83,124,148,45,224.0,195.0,135.0,554.0,0.0,True,False
29,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,3.5110357458182353,50.33195536477225,0.5833333333333334,0.0731465780378799,68.62084115482385,1763.690559387207,75.69682095871681,545.0,454.70649933815,77,117,155,35,190.0,192.0,163.0,545.0,1.0,True,True
30,small,small_clustered_train_b,train,strict_connectivity_plus_capacity_plus_bandwidth,4.85868187493595,50.45461489359538,0.6,0.097173637498719,65.51555636283278,1883.4202671051025,74.28934767082893,561.0,378.5341010093689,80,102,168,50,204.0,203.0,154.0,561.0,0.0,True,False
