episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
0,small,small_balanced_train_a,train,strict_connectivity_only,9.85470383737873,61.37869609832764,1.0,0.19709407674757462,70.27101977905609,2018.7207775115967,82.5978376624832,523.0,444.61618411540985,103,132,144,21,227.0,160.0,136.0,523.0,1.0,True,True
1,small,small_clustered_train_b,train,strict_connectivity_only,9.868136859071978,60.80944019317627,1.0,0.19736273718143957,69.43266786725724,2008.1891345977783,79.12154699941259,522.0,431.16135597229004,93,149,120,38,223.0,161.0,138.0,522.0,1.0,True,True
2,small,small_clustered_train_b,train,strict_connectivity_only,9.754956987681515,63.350924758911134,1.0,0.1950991397536303,70.980558077014,2158.67382144928,75.39073902049178,552.0,381.4816722869873,92,151,116,41,234.0,177.0,141.0,552.0,1.0,True,True
3,small,small_clustered_train_b,train,strict_connectivity_only,9.705379971137505,65.81612976074219,1.0,0.1941075994227501,75.10620244342068,2188.919595718384,79.38328561784219,558.0,464.50362038612366,101,150,100,49,239.0,156.0,163.0,558.0,1.0,True,True
4,small,small_clustered_train_b,train,strict_connectivity_only,9.653002972024048,68.26573417663575,1.0,0.19306005944048096,77.6934169615654,2326.056516647339,79.84607145320942,536.0,471.3841325044632,101,163,92,44,223.0,142.0,171.0,536.0,0.0,True,False
5,small,small_balanced_train_a,train,strict_connectivity_only,9.602622679230725,68.89397918701172,1.0,0.1920524535846145,79.41042646506573,2291.6240196228027,85.25253287280835,542.0,525.8223843574524,131,165,94,10,226.0,155.0,161.0,542.0,0.0,True,False
6,small,small_balanced_train_a,train,strict_connectivity_only,9.698993306551321,65.87513053894043,1.0,0.1939798661310264,74.80570146347122,2220.6385707855225,82.58945383228321,544.0,446.5285255908966,121,164,102,13,210.0,171.0,163.0,544.0,0.0,True,False
7,small,small_balanced_train_a,train,strict_connectivity_only,9.707203741367099,66.05590194702148,1.0,0.19414407482734197,76.1936380553504,2185.6833534240723,82.22494060512129,528.0,506.8868055343628,128,149,109,14,215.0,163.0,150.0,528.0,1.0,True,True
8,small,small_clustered_train_b,train,strict_connectivity_only,9.658425599896256,68.32779808044434,1.0,0.19316851199792512,77.9739037693323,2360.335796356201,81.74877416150028,492.0,482.3053102493286,104,150,104,42,200.0,148.0,144.0,492.0,0.0,True,False
9,small,small_balanced_train_a,train,strict_connectivity_only,9.82266133091174,61.43242919921875,1.0,0.1964532266182348,70.31686133131075,2011.156063079834,80.2438103229761,536.0,444.2215938568115,127,140,120,13,222.0,145.0,169.0,536.0,1.0,True,True
10,small,small_clustered_train_b,train,strict_connectivity_only,9.746483312059038,63.58833076477051,1.0,0.19492966624118074,72.27903559001119,2166.8105907440186,84.0706714401042,494.0,434.53526067733765,99,160,99,42,210.0,131.0,153.0,494.0,1.0,True,True
11,small,small_clustered_train_b,train,strict_connectivity_only,9.694547880486269,65.16701225280762,1.0,0.19389095760972538,72.48069749668228,2315.274007797241,77.39233594728128,500.0,365.68426537513733,100,154,92,54,193.0,154.0,153.0,500.0,0.0,True,False
12,small,small_balanced_train_a,train,strict_connectivity_only,9.806429274177939,63.0492168045044,1.0,0.19612858548355877,73.21830633089371,2072.763309955597,83.2430374343492,488.0,508.4544868469238,113,153,122,12,200.0,118.0,170.0,488.0,1.0,True,True
13,small,small_clustered_train_b,train,strict_connectivity_only,9.73623260436633,64.48746948242187,1.0,0.19472465208732662,72.91335159948382,2249.3029251098633,75.7764021407295,478.0,421.2941269874573,93,153,99,55,199.0,141.0,138.0,478.0,1.0,True,True
14,small,small_balanced_train_a,train,strict_connectivity_only,9.847316755160417,60.62647144317627,1.0,0.19694633510320833,68.5164963803222,2063.096236228943,81.72602492278683,492.0,394.501278758049,108,164,115,13,209.0,132.0,151.0,492.0,1.0,True,True
15,small,small_balanced_train_a,train,strict_connectivity_only,9.92992419948544,58.11667572021484,1.0,0.19859848398970878,66.1337405149626,1954.3534984588623,79.62702309558,471.0,400.8532544374466,100,180,114,6,191.0,134.0,146.0,471.0,1.0,True,True
16,small,small_clustered_train_b,train,strict_connectivity_only,9.776065642273274,62.31538047790527,1.0,0.19552131284546548,69.0412696378022,2216.1730012893677,70.30152802887373,493.0,336.29447650909424,61,182,99,58,193.0,148.0,152.0,493.0,1.0,True,True
17,small,small_clustered_train_b,train,strict_connectivity_only,9.782719145404071,62.072459030151364,1.0,0.19565438290808143,68.75175290829446,2244.9014797210693,75.75674438942744,449.0,333.96471214294434,81,169,105,45,181.0,130.0,138.0,449.0,1.0,True,True
18,small,small_balanced_train_a,train,strict_connectivity_only,9.804066373870747,62.216972465515134,1.0,0.19608132747741494,70.53929695810453,2114.922764778137,82.80960514571291,497.0,416.11624002456665,104,184,100,12,189.0,144.0,164.0,497.0,1.0,True,True
19,small,small_balanced_train_a,train,strict_connectivity_only,9.746417084356501,63.52675720214844,1.0,0.19492834168713002,72.52668873387483,2132.710988998413,84.63033109300342,509.0,449.9965579509735,95,180,114,11,203.0,144.0,162.0,509.0,1.0,True,True
20,small,small_balanced_train_a,train,strict_connectivity_only,9.826055776259947,61.44366088867187,1.0,0.19652111552519894,70.22161533331733,2068.665367126465,87.620006864574,477.0,438.89769530296326,89,178,118,15,185.0,144.0,148.0,477.0,0.0,True,False
21,small,small_balanced_train_a,train,strict_connectivity_only,9.736197721537474,65.42081344604492,1.0,0.19472395443074947,76.28831307452754,2193.9239253997803,86.74181348055802,447.0,543.3749563694,97,197,97,9,175.0,127.0,145.0,447.0,1.0,True,True
22,small,small_clustered_train_b,train,strict_connectivity_only,9.689403299636606,65.62512763977051,1.0,0.19378806599273213,73.22183982593879,2415.2561473846436,74.1645976156041,412.0,379.83562183380127,73,190,84,53,169.0,124.0,119.0,412.0,1.0,True,True
23,small,small_balanced_train_a,train,strict_connectivity_only,9.601191244879193,69.5254948425293,1.0,0.19202382489758385,80.49429794828167,2353.8908615112305,92.94374633528719,481.0,548.4401450157166,85,205,97,13,190.0,130.0,161.0,481.0,1.0,True,True
24,small,small_clustered_train_b,train,strict_connectivity_only,9.81061724208727,62.90759559631348,1.0,0.1962123448417454,70.62893227483754,2236.0284547805786,71.284497540476,452.0,386.0668306350708,76,185,89,50,158.0,144.0,150.0,452.0,1.0,True,True
25,small,small_clustered_train_b,train,strict_connectivity_only,9.822915765141081,60.9745231628418,1.0,0.19645831530282162,67.27773869888392,2255.1450786590576,71.42036239037084,407.0,315.16074657440186,76,188,84,52,160.0,115.0,132.0,407.0,1.0,True,True
26,small,small_balanced_train_a,train,strict_connectivity_only,9.843362963175021,61.657993392944334,1.0,0.19686725926350043,69.84523049844765,2134.0878295898438,85.4499778600812,454.0,409.3618597984314,79,208,100,13,194.0,106.0,154.0,454.0,1.0,True,True
27,small,small_balanced_train_a,train,strict_connectivity_only,9.761621693991831,65.03969688415528,1.0,0.19523243387983663,74.39530439354782,2270.5865421295166,79.61791509021727,434.0,467.78038001060486,100,202,82,16,169.0,124.0,141.0,434.0,0.0,True,False
28,small,small_clustered_train_b,train,strict_connectivity_only,9.715037936322874,65.40905982971191,1.0,0.19430075872645747,73.31159462839187,2411.405885696411,71.92035590422766,392.0,395.12674379348755,59,211,79,51,144.0,114.0,134.0,392.0,0.0,True,False
29,small,small_clustered_train_b,train,strict_connectivity_only,9.767770782849862,62.99544410705566,1.0,0.19535541565699724,69.76431943642687,2331.48690032959,71.84158777574284,408.0,338.4437417984009,67,190,87,56,157.0,105.0,146.0,408.0,1.0,True,True
30,small,small_clustered_train_b,train,strict_connectivity_only,9.682316776281159,65.69106269836426,1.0,0.19364633552562316,73.1787609719277,2408.695556640625,70.47266918039583,431.0,374.38491129875183,72,206,70,52,152.0,125.0,154.0,431.0,0.0,True,False
31,small,small_clustered_train_b,train,strict_connectivity_only,9.697044876438229,65.5452947998047,1.0,0.19394089752876456,72.95999277274096,2462.5377197265625,76.99213039005399,367.0,370.73489463329315,76,205,75,44,141.0,106.0,120.0,367.0,1.0,True,True
32,small,small_balanced_train_a,train,strict_connectivity_only,9.685431131163416,66.4844499206543,1.0,0.19370862262326832,75.67819138400868,2368.619037628174,89.9164180245541,406.0,459.68705439567566,85,229,80,6,161.0,107.0,138.0,406.0,0.0,True,False
33,small,small_clustered_train_b,train,strict_connectivity_only,9.701087371568129,64.99631645202636,1.0,0.19402174743136258,72.88162081563978,2388.4310989379883,75.11955398723076,392.0,394.265193939209,58,207,78,57,146.0,113.0,133.0,392.0,0.0,True,False
34,small,small_clustered_train_b,train,strict_connectivity_only,9.781682513311857,62.62707885742188,1.0,0.19563365026623714,69.89575049575541,2293.8323287963867,79.08800677476971,395.0,363.4335936307907,67,208,71,54,154.0,101.0,140.0,395.0,1.0,True,True
35,small,small_balanced_train_a,train,strict_connectivity_only,9.755680622315387,62.78627136230469,1.0,0.19511361244630773,71.62841442882198,2199.18798828125,87.0184386570187,411.0,442.1071472167969,74,233,89,4,173.0,119.0,119.0,411.0,1.0,True,True
36,small,small_clustered_train_b,train,strict_connectivity_only,9.868594286769058,60.38965385437012,1.0,0.19737188573538117,67.5477802018375,2190.554349899292,68.02200073060766,403.0,357.906329035759,70,193,76,61,153.0,124.0,126.0,403.0,0.0,True,False
37,small,small_balanced_train_a,train,strict_connectivity_only,9.816115032528765,62.08490653991699,1.0,0.19632230065057532,71.53378675327362,2160.210912704468,85.59039637149033,386.0,472.4440155029297,66,240,92,2,168.0,111.0,107.0,386.0,0.0,True,False
38,small,small_clustered_train_b,train,strict_connectivity_only,9.794171596279455,62.18627960205078,1.0,0.1958834319255891,69.31103367462974,2269.142017364502,72.9342578605911,411.0,356.2377059459686,61,197,82,60,152.0,149.0,110.0,411.0,1.0,True,True
39,small,small_balanced_train_a,train,strict_connectivity_only,9.809808612871226,61.695142669677736,1.0,0.19619617225742453,70.29162034726582,2178.621862411499,82.31134117672981,394.0,429.82390809059143,64,235,94,7,170.0,140.0,84.0,394.0,0.0,True,False
40,small,small_clustered_train_b,train,strict_connectivity_only,9.788641750776959,62.61072742462158,1.0,0.1957728350155392,69.42665957612608,2297.5215816497803,71.21819795341436,421.0,340.79659926891327,70,201,73,56,156.0,137.0,128.0,421.0,1.0,True,True
41,small,small_clustered_train_b,train,strict_connectivity_only,9.76079127543873,63.36598983764648,1.0,0.19521582550877462,70.26806464854359,2371.459930419922,71.73581828447526,380.0,345.10374200344086,60,199,78,63,153.0,125.0,102.0,380.0,0.0,True,False
42,small,small_clustered_train_b,train,strict_connectivity_only,9.841838976333223,60.62579891204834,1.0,0.19683677952666445,67.5694600146658,2227.943554878235,68.16331262408234,388.0,347.18306624889374,61,195,82,62,153.0,140.0,95.0,388.0,0.0,True,False
43,small,small_clustered_train_b,train,strict_connectivity_only,9.80340403781937,61.66977996826172,1.0,0.19606808075638738,68.79813912075407,2278.1599502563477,71.91110183247683,377.0,356.4179530143738,60,207,85,48,148.0,120.0,109.0,377.0,1.0,True,True
44,small,small_clustered_train_b,train,strict_connectivity_only,9.728031836194301,65.01587150573731,1.0,0.19456063672388602,72.59040947599898,2429.8662967681885,74.2004151473574,368.0,378.72688019275665,64,205,75,56,135.0,144.0,89.0,368.0,0.0,True,False
45,small,small_clustered_train_b,train,strict_connectivity_only,9.703514788407333,65.21737205505372,1.0,0.19407029576814666,73.53053179019071,2426.2480087280273,79.96260641455689,339.0,415.657985329628,67,211,75,47,134.0,125.0,80.0,339.0,1.0,True,True
46,small,small_clustered_train_b,train,strict_connectivity_only,9.717537815092873,66.04232681274414,1.0,0.19435075630185747,73.99318467385662,2490.230459213257,74.34298362016101,340.0,397.5428954362869,58,227,67,48,128.0,132.0,80.0,340.0,1.0,True,True
47,small,small_clustered_train_b,train,strict_connectivity_only,9.70079017202167,65.12455383300781,1.0,0.1940158034404334,72.2136525551008,2488.106731414795,77.6660032858545,336.0,354.45494544506073,44,231,71,54,123.0,132.0,81.0,336.0,0.0,True,False
48,small,small_clustered_train_b,train,strict_connectivity_only,9.740488501531969,65.00297241210937,1.0,0.19480977003063937,74.14035615376686,2364.8670349121094,80.41243118058387,348.0,456.8691712617874,59,227,73,41,140.0,127.0,81.0,348.0,0.0,True,False
49,small,small_clustered_train_b,train,strict_connectivity_only,9.728986719340714,63.87193092346192,1.0,0.19457973438681428,70.93017667693833,2422.4811458587646,71.20307553469091,347.0,352.9123064279556,57,217,73,53,129.0,143.0,75.0,347.0,1.0,True,True
50,small,small_balanced_train_a,train,strict_connectivity_only,9.879682981500764,59.898876342773434,1.0,0.1975936596300153,68.76544618844359,2144.239273071289,81.37611979224344,326.0,443.3284592628479,58,258,81,3,120.0,133.0,73.0,326.0,1.0,True,True
51,small,small_clustered_train_b,train,strict_connectivity_only,9.801673502347613,61.95318634033203,1.0,0.19603347004695226,69.8458735174299,2239.377977371216,77.64700925543646,386.0,394.63434410095215,39,229,81,51,136.0,160.0,90.0,386.0,1.0,True,True
52,small,small_balanced_train_a,train,strict_connectivity_only,9.776515215894568,62.983528747558594,1.0,0.19553030431789137,72.07242887133575,2265.062578201294,86.66882575634756,343.0,454.4450194835663,59,262,77,2,132.0,133.0,78.0,343.0,1.0,True,True
53,small,small_balanced_train_a,train,strict_connectivity_only,9.827648736143914,61.90010726928711,1.0,0.19655297472287828,71.32616536455106,2210.734956741333,83.96752875726204,329.0,471.30289363861084,47,267,83,3,114.0,134.0,81.0,329.0,0.0,True,False
54,small,small_clustered_train_b,train,strict_connectivity_only,9.855336205543178,61.648553924560545,1.0,0.19710672411086358,70.2521417476044,2170.812355041504,79.43590961132145,402.0,430.17941308021545,40,237,84,39,151.0,155.0,96.0,402.0,1.0,True,True
55,small,small_balanced_train_a,train,strict_connectivity_only,9.96011791428685,57.002473220825195,1.0,0.19920235828573699,64.60945156787763,2070.534586906433,83.24010898603666,316.0,380.3489406108856,43,268,85,4,117.0,143.0,56.0,316.0,0.0,True,False
56,small,small_balanced_train_a,train,strict_connectivity_only,9.820107388030875,62.85634105682373,1.0,0.1964021477606175,72.86199756572684,2265.404133796692,87.13010204561185,290.0,500.28282022476196,46,270,82,2,119.0,109.0,62.0,290.0,0.0,True,False
57,small,small_clustered_train_b,train,strict_connectivity_only,9.705149574388763,65.14779289245605,1.0,0.19410299148777527,73.94884417918573,2373.6553745269775,83.68168672494178,360.0,440.0525736808777,52,246,69,33,144.0,132.0,84.0,360.0,1.0,True,True
58,small,small_clustered_train_b,train,strict_connectivity_only,9.812522933218133,61.480411224365234,1.0,0.19625045866436266,69.20166114881985,2259.9125423431396,83.04553083004635,345.0,386.06249141693115,46,232,81,41,146.0,118.0,81.0,345.0,0.0,True,False
59,small,small_balanced_train_a,train,strict_connectivity_only,9.761856416532353,63.76045459747314,1.0,0.19523712833064708,71.97860552125785,2358.908932685852,88.20627032825757,330.0,410.90753722190857,58,265,77,0,129.0,126.0,75.0,330.0,1.0,True,True
60,small,small_balanced_train_a,train,strict_connectivity_only,9.829082256052333,60.80921096801758,1.0,0.19658164512104664,68.90284730532734,2233.634536743164,86.144158567377,316.0,404.6818344593048,62,257,81,0,124.0,118.0,74.0,316.0,0.0,True,False
61,small,small_clustered_train_b,train,strict_connectivity_only,9.833486249191337,61.315196113586424,1.0,0.19666972498382673,70.30106131703724,2212.0955057144165,79.37108868444636,325.0,449.2932345867157,54,239,80,27,138.0,125.0,62.0,325.0,1.0,True,True
62,small,small_clustered_train_b,train,strict_connectivity_only,9.838660254740788,60.20891830444336,1.0,0.19677320509481575,66.74598673785968,2283.5700149536133,75.02250773763394,325.0,326.8534061908722,57,232,74,37,140.0,103.0,82.0,325.0,0.0,True,False
63,small,small_balanced_train_a,train,strict_connectivity_only,9.856594216014374,61.20653190612793,1.0,0.19713188432028747,69.93067688375612,2237.1421279907227,85.97722380492499,301.0,436.2072458267212,62,255,81,2,133.0,110.0,58.0,301.0,1.0,True,True
64,small,small_clustered_train_b,train,strict_connectivity_only,9.810761215492722,62.36200912475586,1.0,0.19621522430985444,70.67616187279322,2315.158191680908,74.23461928911249,313.0,415.70764207839966,58,219,80,43,139.0,104.0,70.0,313.0,1.0,True,True
65,small,small_balanced_train_a,train,strict_connectivity_only,9.833680467738134,61.44585605621338,1.0,0.19667360935476266,70.3237479809462,2267.0290565490723,88.36910989115873,273.0,443.8946166038513,48,265,86,1,120.0,78.0,75.0,273.0,1.0,True,True
66,small,small_balanced_train_a,train,strict_connectivity_only,9.836899852607482,61.23747039794922,1.0,0.19673799705214964,69.94715620101097,2268.1631774902344,83.22605496670155,275.0,435.4842892885208,65,265,69,1,134.0,83.0,58.0,275.0,1.0,True,True
67,small,small_clustered_train_b,train,strict_connectivity_only,9.78419437683869,62.123033599853514,1.0,0.1956838875367738,70.28808192761079,2327.7506942749023,77.14851876594608,293.0,408.2524428367615,62,233,66,39,124.0,93.0,76.0,293.0,0.0,True,False
68,small,small_clustered_train_b,train,strict_connectivity_only,9.843072140183246,60.60659797668457,1.0,0.1968614428036649,68.32097837033122,2295.302236557007,77.3086487873284,272.0,385.71901535987854,41,244,68,47,118.0,91.0,63.0,272.0,1.0,True,True
69,small,small_balanced_train_a,train,strict_connectivity_only,9.789776185002,62.090911407470706,1.0,0.19579552370004,70.20685245496628,2340.0394649505615,84.70908476804328,274.0,405.79703664779663,63,269,68,0,128.0,87.0,59.0,274.0,1.0,True,True
70,small,small_balanced_train_a,train,strict_connectivity_only,9.779636904710886,63.0268083190918,1.0,0.1955927380942177,73.03871301059769,2296.8439331054688,85.90123558370956,268.0,500.5952408313751,64,260,75,1,113.0,86.0,69.0,268.0,1.0,True,True
71,small,small_balanced_train_a,train,strict_connectivity_only,9.854438600482998,60.42167465209961,1.0,0.19708877200965996,69.33741312224893,2206.71803855896,85.57876877457075,283.0,445.7869248390198,46,271,81,2,131.0,91.0,61.0,283.0,0.0,True,False
72,small,small_balanced_train_a,train,strict_connectivity_only,9.960850159931384,58.06195007324219,1.0,0.19921700319862767,66.87775057942014,2134.6896018981934,80.61787235346058,247.0,440.79002571105957,48,279,73,0,116.0,83.0,48.0,247.0,1.0,True,True
73,small,small_clustered_train_b,train,strict_connectivity_only,9.875594683643683,59.716892585754394,1.0,0.19751189367287367,66.54215546165653,2292.839344024658,75.7421621859532,276.0,341.2631331682205,39,231,73,57,119.0,91.0,66.0,276.0,0.0,True,False
74,small,small_balanced_train_a,train,strict_connectivity_only,9.797862788053589,63.48559497833252,1.0,0.19595725576107179,73.54624041563802,2312.6586122512817,88.58883641433974,270.0,503.0322847366333,48,276,75,1,119.0,84.0,67.0,270.0,0.0,True,False
75,small,small_balanced_train_a,train,strict_connectivity_only,9.920685399135822,58.64074546813965,1.0,0.19841370798271643,66.81108125461986,2168.232301712036,81.28814541531914,274.0,408.51680970191956,51,272,74,3,114.0,82.0,78.0,274.0,1.0,True,True
76,small,small_balanced_train_a,train,strict_connectivity_only,9.7798050854142,62.244923706054685,1.0,0.195596101708284,70.86111895382648,2371.790651321411,88.64578645150903,221.0,430.8097548484802,52,280,67,1,102.0,73.0,46.0,221.0,1.0,True,True
77,small,small_balanced_train_a,train,strict_connectivity_only,9.914097504722275,59.26303062438965,1.0,0.1982819500944455,68.67857175607718,2171.6962900161743,83.67814715425392,237.0,470.7770745754242,39,275,86,0,97.0,77.0,63.0,237.0,1.0,True,True
78,small,small_balanced_train_a,train,strict_connectivity_only,9.897783475090911,59.58068222045898,1.0,0.19795566950181823,67.60008071606364,2258.850788116455,86.2133590304924,233.0,400.96994495391846,47,271,82,0,103.0,71.0,59.0,233.0,0.0,True,False
79,small,small_balanced_train_a,train,strict_connectivity_only,9.843446304495833,61.22948741912842,1.0,0.19686892608991666,70.70158329753517,2263.840057373047,84.02955408192759,240.0,473.604775428772,49,275,76,0,99.0,96.0,45.0,240.0,1.0,True,True
80,small,small_clustered_train_b,train,strict_connectivity_only,9.811285143876534,61.63385414123535,1.0,0.19622570287753066,68.22361689424132,2438.836477279663,76.36809417610114,237.0,329.4881361722946,29,245,68,58,89.0,76.0,72.0,237.0,0.0,True,False
81,small,small_balanced_train_a,train,strict_connectivity_only,9.776597425308777,63.493315620422365,1.0,0.19553194850617556,73.14761510876,2360.2851428985596,88.66566305423359,243.0,482.71497321128845,38,285,77,0,91.0,80.0,72.0,243.0,1.0,True,True
82,small,small_clustered_train_b,train,strict_connectivity_only,9.989223514501493,56.875526428222656,1.0,0.19978447029002985,63.416287608131526,2202.1471223831177,73.59114188042244,241.0,327.0380585193634,39,247,67,47,84.0,93.0,64.0,241.0,0.0,True,False
