time,nof_ue,dl_brate,ul_brate,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file,bs_lambda_total
1602351477723,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351477973,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351478223,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351478473,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351478723,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351478973,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351479223,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351479473,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351479723,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351479973,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351480223,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351480473,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351480723,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351480973,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351481223,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351481473,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351481723,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351481973,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351482223,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351482473,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
1602351482723,0.0,0.0,0.0,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/bs1.csv,0.0
