time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,ue_file_id,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file
4731,0,1,3400,-75.0,75.0,-646.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
4980,0,1,3400,-75.0,75.0,-748.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
5229,0,1,3400,-75.0,75.0,-858.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
5478,0,1,3400,-75.0,75.0,-650.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
5727,0,1,3400,-75.0,75.0,-788.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
5976,0,1,3400,-74.0,74.0,-675.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
6225,0,1,3400,-75.0,75.0,-766.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
6474,0,1,3400,-74.0,74.0,-441.0,0.26,8.3,0.065,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
6723,0,1,3400,-73.0,73.0,-267.0,1.4,13.0,0.25,2336.0,0.0,0.0,0.0,33.0,224.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
6972,0,1,3400,-72.0,72.0,-265.0,4.2,13.0,0.79,0.0,100.0,27.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
7221,0,1,3400,-72.0,72.0,-264.0,5.3,14.0,1.2,10368.0,5.0,27.0,0.0,0.0,22432.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
7470,0,1,3400,-72.0,72.0,-267.0,6.3,14.0,0.6,7360.0,0.0,27.0,0.0,0.0,12928.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
7719,0,1,3400,-72.0,72.0,-262.0,7.5,14.0,0.53,22560.0,0.0,27.0,0.0,186.0,30016.0,3.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
7968,0,1,3400,-72.0,72.0,-265.0,9.5,14.0,0.67,21705.179688,0.0,27.0,0.0,0.0,26262.947266,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
8217,0,1,3400,-73.0,73.0,-263.0,12.0,13.0,0.69,22752.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
8466,0,1,3400,-73.0,73.0,-264.0,6.6,13.0,0.5,22912.0,0.0,27.0,0.0,0.0,8480.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
8715,0,1,3400,-73.0,73.0,-262.0,7.2,13.0,0.65,22112.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
8964,0,1,3400,-72.0,72.0,-262.0,9.3,13.0,0.79,12876.494141,9.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
9213,0,1,3400,-72.0,72.0,-264.0,11.0,14.0,0.5,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
9462,0,1,3400,-72.0,72.0,-266.0,11.0,14.0,1.1,26816.0,0.0,27.0,0.0,0.0,8480.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
9711,0,1,3400,-72.0,72.0,-267.0,13.0,14.0,1.1,10592.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
9960,0,1,3400,-72.0,72.0,-261.0,11.0,14.0,1.1,27027.888672,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
10209,0,1,3400,-72.0,72.0,-266.0,14.0,14.0,1.7,22368.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
10458,0,1,3400,-72.0,72.0,-270.0,13.0,13.0,1.5,19648.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
10707,0,1,3400,-72.0,72.0,-267.0,6.2,14.0,0.62,19200.0,0.0,27.0,0.0,0.0,13024.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
10956,0,1,3400,-72.0,72.0,-266.0,9.5,14.0,0.5,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
11205,0,1,3400,-72.0,72.0,-268.0,10.0,14.0,0.74,5440.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
11454,0,1,3400,-72.0,72.0,-268.0,11.0,14.0,1.3,0.0,100.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
11703,0,1,3400,-72.0,72.0,-270.0,9.4,14.0,1.6,12544.0,0.0,27.0,0.0,0.0,11616.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
11952,0,1,3400,-72.0,72.0,-269.0,8.5,14.0,1.3,16669.322266,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
12201,0,1,3400,-71.0,71.0,-264.0,11.0,14.0,1.6,16256.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
12450,0,1,3400,-71.0,71.0,-269.0,16.0,15.0,1.6,7872.0,0.0,27.0,0.0,52.0,1568.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
12699,0,1,3400,-71.0,71.0,-265.0,14.0,15.0,1.0,10848.0,0.0,27.0,0.0,0.0,13024.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
12948,0,1,3400,-71.0,71.0,-266.0,7.0,15.0,0.61,11792.829102,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
13197,0,1,3400,-72.0,72.0,-265.0,13.0,14.0,0.77,15936.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
13446,0,1,3400,-72.0,72.0,-263.0,13.0,14.0,0.75,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
13695,0,1,3400,-72.0,72.0,-264.0,11.0,14.0,0.63,10880.0,0.0,27.0,0.0,0.0,13280.0,22.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
13944,0,1,3400,-72.0,72.0,-265.0,7.8,14.0,0.53,18167.330078,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
14193,0,1,3400,-73.0,73.0,-266.0,14.0,13.0,1.4,19584.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
14442,0,1,3400,-73.0,73.0,-269.0,11.0,13.0,1.5,5504.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
