time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,ue_file_id,dataset_group,scenario,training_id,experiment_id,base_station_id,source_file
362046,0,1,3400,-67.0,67.0,-246.0,15.0,20.0,0.6,25984.0,0.0,27.0,1.3,12.0,5888.0,17.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
362295,0,1,3400,-67.0,67.0,-245.0,14.0,20.0,0.5,15808.764648,0.0,27.0,2.0,0.0,7011.952148,17.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
362544,0,1,3400,-67.0,67.0,-243.0,12.0,20.0,0.5,16288.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
362793,0,1,3400,-67.0,67.0,-245.0,13.0,20.0,0.52,10624.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
363042,0,1,3400,-67.0,67.0,-245.0,14.0,19.0,0.53,26496.0,0.0,27.0,2.0,0.0,30816.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
363291,0,1,3400,-67.0,67.0,-242.0,14.0,20.0,0.5,15649.402344,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
363540,0,1,3400,-67.0,67.0,-243.0,11.0,20.0,0.5,16192.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
363789,0,1,3400,-67.0,67.0,-240.0,11.0,20.0,0.5,15296.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
364038,0,1,3400,-66.0,66.0,-241.0,8.5,20.0,0.5,6304.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
364287,0,1,3400,-66.0,66.0,-242.0,9.7,21.0,0.5,5227.091797,0.0,27.0,2.5,0.0,13067.729492,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
364536,0,1,3400,-66.0,66.0,-243.0,13.0,21.0,0.5,10560.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
364785,0,1,3400,-66.0,66.0,-240.0,16.0,20.0,0.5,5248.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
365034,0,1,3400,-66.0,66.0,-240.0,13.0,21.0,0.5,5472.0,0.0,27.0,1.0,146.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
365283,0,1,3400,-66.0,66.0,-243.0,12.0,21.0,0.5,16032.0,0.0,27.0,2.1,0.0,18496.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
365532,0,1,3400,-66.0,66.0,-242.0,11.0,20.0,0.5,4494.023926,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
365781,0,1,3400,-66.0,66.0,-245.0,9.8,21.0,0.5,11712.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
366030,0,1,3400,-66.0,66.0,-244.0,11.0,21.0,0.5,21280.0,0.0,27.0,2.0,112.0,2592.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
366279,0,1,3400,-66.0,66.0,-247.0,11.0,20.0,0.62,15712.0,0.0,27.0,5.3,0.0,26688.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
366528,0,1,3400,-67.0,67.0,-247.0,13.0,20.0,0.53,5131.474121,0.0,27.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
366777,0,1,3400,-67.0,67.0,-244.0,17.0,20.0,0.74,5408.0,0.0,27.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
367026,0,1,3400,-67.0,67.0,-245.0,12.0,20.0,0.74,0.0,0.0,27.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
367275,0,1,3400,-67.0,67.0,-246.0,9.3,20.0,0.6,5408.0,0.0,27.0,3.7,0.0,7648.0,31.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
367524,0,1,3400,-67.0,67.0,-243.0,11.0,20.0,0.5,16063.492188,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
367773,0,1,3400,-67.0,67.0,-239.0,14.0,20.0,0.5,10602.40918,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
368022,0,1,3400,-66.0,66.0,-241.0,12.0,20.0,0.5,10560.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
368271,0,1,3400,-66.0,66.0,-242.0,11.0,21.0,0.5,10560.0,0.0,27.0,1.5,0.0,16064.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
368520,0,1,3400,-66.0,66.0,-244.0,17.0,21.0,0.5,5131.474121,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
368769,0,1,3400,-66.0,66.0,-242.0,14.0,21.0,0.5,15840.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
369018,0,1,3400,-66.0,66.0,-242.0,17.0,21.0,0.72,10304.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
369267,0,1,3400,-66.0,66.0,-244.0,17.0,21.0,0.53,10464.0,0.0,27.0,0.67,0.0,8736.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
369516,0,1,3400,-66.0,66.0,-240.0,16.0,21.0,0.5,5152.0,0.0,27.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
369765,0,1,3400,-66.0,66.0,-241.0,12.0,20.0,0.5,26932.271484,0.0,27.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
370014,0,1,3400,-66.0,66.0,-242.0,12.0,21.0,0.5,10784.0,0.0,27.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
370263,0,1,3400,-66.0,66.0,-246.0,16.0,21.0,0.5,10464.0,0.0,27.0,1.7,0.0,11552.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
370512,0,1,3400,-66.0,66.0,-247.0,18.0,21.0,0.5,5152.0,0.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
370761,0,1,3400,-66.0,66.0,-247.0,18.0,21.0,0.5,5131.474121,0.0,27.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
371010,0,1,3400,-66.0,66.0,-247.0,18.0,21.0,0.5,0.0,0.0,27.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
371259,0,1,3400,-66.0,66.0,-244.0,18.0,21.0,0.5,5152.0,0.0,27.0,5.4,0.0,15808.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
371508,0,1,3400,-66.0,66.0,-244.0,14.0,21.0,0.5,20864.0,0.0,27.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
371757,0,1,3400,-66.0,66.0,-241.0,13.0,21.0,0.5,5290.836426,0.0,27.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
372006,0,1,3400,-66.0,66.0,-238.0,14.0,21.0,0.5,10304.0,0.0,27.0,5.3,144.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
372255,0,1,3400,-66.0,66.0,-240.0,16.0,21.0,0.5,5312.0,0.0,27.0,0.15,0.0,20448.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
372504,0,1,3400,-66.0,66.0,-243.0,15.0,21.0,0.6,15616.0,0.0,27.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
372753,0,1,3400,-66.0,66.0,-241.0,15.0,20.0,0.5,36800.0,0.0,27.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
373002,0,1,3400,-66.0,66.0,-238.0,10.0,21.0,0.5,5386.454102,0.0,27.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
373251,0,1,3400,-66.0,66.0,-241.0,12.0,21.0,0.5,10720.0,0.0,27.0,0.48,0.0,10048.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
373500,0,1,3400,-66.0,66.0,-242.0,9.0,21.0,0.5,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
373749,0,1,3400,-66.0,66.0,-246.0,14.0,21.0,0.5,20608.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
373998,0,1,3400,-66.0,66.0,-240.0,18.0,21.0,0.54,15394.421875,0.0,27.0,1.0,112.0,1561.75293,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
374247,0,1,3400,-66.0,66.0,-240.0,18.0,21.0,0.9,5131.474121,0.0,27.0,0.04,0.0,10262.948242,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
374496,0,1,3400,-66.0,66.0,-242.0,14.0,21.0,0.72,10859.4375,0.0,27.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
374745,0,1,3400,-66.0,66.0,-245.0,11.0,20.0,0.5,31872.0,0.0,27.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
374994,0,1,3400,-66.0,66.0,-245.0,14.0,21.0,0.5,10517.928711,0.0,27.0,0.016,186.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
375243,0,1,3400,-66.0,66.0,-244.0,11.0,21.0,0.5,0.0,0.0,27.0,0.92,0.0,11616.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
375492,0,1,3400,-66.0,66.0,-242.0,14.0,21.0,0.5,21376.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
375741,0,1,3400,-66.0,66.0,-238.0,13.0,20.0,0.5,20992.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
375990,0,1,3400,-66.0,66.0,-238.0,12.0,21.0,0.5,21035.857422,0.0,27.0,1.0,0.0,16286.852539,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
376239,0,1,3400,-66.0,66.0,-241.0,13.0,21.0,0.5,10816.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
376488,0,1,3400,-66.0,66.0,-244.0,15.0,21.0,0.5,10560.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
376737,0,1,3400,-66.0,66.0,-241.0,12.0,21.0,0.5,10464.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
376986,0,1,3400,-65.0,65.0,-240.0,11.0,21.0,0.52,20928.0,0.0,27.0,2.0,144.0,1568.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
377235,0,1,3400,-65.0,65.0,-243.0,15.0,22.0,0.5,20908.367188,0.0,27.0,3.9,0.0,20366.533203,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
377484,0,1,3400,-65.0,65.0,-240.0,14.0,22.0,0.5,10464.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
377733,0,1,3400,-65.0,65.0,-241.0,17.0,22.0,0.5,20608.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
377982,0,1,3400,-65.0,65.0,-238.0,18.0,21.0,0.5,15456.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
378231,0,1,3400,-65.0,65.0,-244.0,16.0,21.0,0.5,15649.402344,0.0,27.0,3.9,0.0,22597.609375,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
378480,0,1,3400,-65.0,65.0,-245.0,17.0,22.0,0.5,15616.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
378729,0,1,3400,-65.0,65.0,-246.0,12.0,22.0,0.5,5440.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
378978,0,1,3400,-65.0,65.0,-241.0,12.0,22.0,0.5,5152.0,0.0,27.0,3.7,0.0,11552.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
379227,0,1,3400,-65.0,65.0,-240.0,16.0,22.0,0.57,5131.474121,0.0,27.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
379476,0,1,3400,-65.0,65.0,-240.0,16.0,22.0,0.61,5152.0,0.0,27.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
379725,0,1,3400,-65.0,65.0,-242.0,16.0,23.0,0.5,10464.0,0.0,27.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
379974,0,1,3400,-64.0,64.0,-241.0,16.0,23.0,0.6,15744.0,0.0,27.0,0.068,0.0,16544.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
380223,0,1,3400,-64.0,64.0,-244.0,15.0,22.0,0.52,20844.621094,0.0,27.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
380472,0,1,3400,-65.0,65.0,-245.0,12.0,22.0,0.5,25920.0,0.0,27.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
380721,0,1,3400,-65.0,65.0,-244.0,18.0,22.0,0.5,5152.0,0.0,27.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
380970,0,1,3400,-65.0,65.0,-239.0,18.0,22.0,0.5,10304.0,0.0,27.0,1.2,0.0,11616.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
381219,0,1,3400,-65.0,65.0,-237.0,18.0,21.0,0.5,15456.0,0.0,27.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
381468,0,1,3400,-66.0,66.0,-240.0,18.0,21.0,0.5,0.0,0.0,27.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
381717,0,1,3400,-66.0,66.0,-238.0,18.0,21.0,0.57,15456.0,0.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
381966,0,1,3400,-66.0,66.0,-238.0,16.0,21.0,0.64,10656.0,0.0,27.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
382215,0,1,3400,-66.0,66.0,-238.0,14.0,20.0,0.5,31584.0,0.0,27.0,13.0,0.0,0.0,80.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
382464,0,1,3400,-66.0,66.0,-242.0,12.0,21.0,0.5,21290.835938,0.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
382713,0,1,3400,-66.0,66.0,-241.0,8.8,21.0,0.5,15872.0,0.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
382962,0,1,3400,-65.0,65.0,-241.0,13.0,22.0,0.5,15456.0,0.0,27.0,12.0,0.0,14432.0,0.0,0.0,0.0,0.0,1.0,1,slice_mixed,rome_slow_close,tr0,exp1,bs1,data/colosseum-oran-commag-dataset/slice_mixed/rome_slow_close/tr0/exp1/bs1/ue1.csv
