episode_index,benchmark,pool,constraint_mode,slot,topology_id,valid_deployment,deployment_cost,reward,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,es_overuse,rc_overuse,bandwidth_overuse,e2e_violation,crosshaul_violation,failed_links,split_changes,es_changes,rc_changes,invalid_reasons,split_vector,es_choice_vector,rc_choice_vector
9,paper_large,train,legacy,1,paper_large_balanced_train_a,True,688.5404052734375,0.13269594523317177,337.2576904296875,26.479755023058118,0.0,324.8029479980469,225.250244140625,0.0,0.0,21.658195352554323,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,2,paper_large_balanced_train_a,True,778.23681640625,0.13057702640525223,380.50238037109375,27.15702460615579,0.0,370.5774230957031,262.3297119140625,0.0,0.0,30.353224728393556,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,3,paper_large_balanced_train_a,True,782.815673828125,0.1304772067143346,376.2197265625,27.60290464274789,0.0,378.9930419921875,269.7588806152344,0.0,0.0,31.339671033859254,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,4,paper_large_balanced_train_a,True,785.1019287109375,0.13042764088474504,373.8751525878906,28.816264534622427,0.0,382.4105529785156,280.3160705566406,0.0,0.0,24.1999880115509,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,5,paper_large_balanced_train_a,True,737.5734252929688,0.13149727161118063,348.62603759765625,23.758259921497107,0.0,365.1891174316406,236.47988891601562,0.0,0.0,50.81473731307983,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,6,paper_large_balanced_train_a,True,726.3607177734375,0.13176233058294975,343.438232421875,27.042262783600197,0.0,355.8802185058594,241.69818115234375,0.0,0.0,36.28752988548278,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,7,paper_large_balanced_train_a,True,686.7115478515625,0.1327427257576707,332.7926330566406,22.44330500106216,0.0,331.47564697265625,209.98495483398438,0.0,0.0,43.59617526435853,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,8,paper_large_balanced_train_a,True,770.8818359375,0.13073892438745444,374.77618408203125,29.731502986920813,0.0,366.3741149902344,264.1894836425781,0.0,0.0,24.290146504211428,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,9,paper_large_balanced_train_a,True,849.0531005859375,0.12911057706015697,411.886474609375,29.706503043459904,0.0,407.4600830078125,299.6180725097656,0.0,0.0,29.94750778312683,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,10,paper_large_balanced_train_a,True,719.5655517578125,0.13192548798648687,352.13330078125,26.65689385689963,0.0,340.77532958984375,238.16775512695312,0.0,0.0,24.713087171936035,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,11,paper_large_balanced_train_a,True,745.102294921875,0.13132213112423832,363.9211120605469,28.12791418313923,0.0,353.0533142089844,244.644775390625,0.0,0.0,30.51402639808655,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,12,paper_large_balanced_train_a,True,804.078369140625,0.1300231244391692,395.270263671875,28.395832515731264,0.0,380.4122314453125,267.6083984375,0.0,0.0,34.90933101844788,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,13,paper_large_balanced_train_a,True,633.2998046875,0.13418276893034942,292.77740478515625,21.6709225608658,0.0,318.8514709472656,194.6419219970703,0.0,0.0,46.3150396484375,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,14,paper_large_balanced_train_a,True,671.9978637695312,0.13312491021468686,321.4775695800781,24.68159203550964,0.0,325.8387145996094,208.4809112548828,0.0,0.0,39.463291919326785,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
9,paper_large,train,legacy,15,paper_large_balanced_train_a,True,664.6861572265625,0.1333187869368703,317.0603332519531,23.40013622425552,0.0,324.2257080078125,214.54293823242188,0.0,0.0,31.78826296691895,77.8945083618164,0,0,0,0,es_capacity_exceeded|e2e_latency_exceeded|crosshaul_latency_exceeded,0 1 1 1 1 0 0 1 0 0 2 2 3 0 1 1 2 2 1 0 0 2 1 0 2 0 0 2 1 0 1 2 0 0 0 0 0 0 1 2 0 1 0 0 3 2 2 2 1 2 1 2 0 0 2 0 2 1 2 0 1 3 2 1,0 3 0 3 0 1 0 3 2 3 2 3 0 3 2 1 2 3 0 1 2 3 2 1 2 1 0 1 0 1 2 3 0 1 2 3 0 3 0 3 0 1 0 3 2 1 2 3 2 3 0 1 0 1 0 3 2 1 2 3 2 1 0 1,0 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1 1 0
