episode,benchmark,topology_id,pool,constraint_mode,reward,cost,valid_rate,average_reward_per_slot,average_cost_per_slot,processing_cost,routing_cost,reconfiguration_cost,sla_penalty,split_s1_count,split_s2_count,split_s3_count,split_s4_count,split_changes,es_changes,rc_changes,total_reconfig_changes,strict_feasible_reset_rate,has_structurally_valid_action,has_strictly_valid_action
28,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,85.082444458899,247.54565048217773,9.819244774887526,29.0,69.52366352081299,8,14,14,4,13.0,10.0,6.0,29.0,0.0,True,False
29,small,small_clustered_train_b,train,strict_full,-1.5,inf,0.0,-0.3,80.13431375782143,253.8300075531006,9.228741435057483,34.0,51.80640983581543,8,18,10,4,15.0,10.0,9.0,34.0,1.0,True,True
30,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,85.17396573660233,243.1288948059082,10.09745397369154,33.0,69.82174015045166,11,15,9,5,14.0,5.0,14.0,33.0,0.0,True,False
31,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,84.22553043631834,250.36834907531738,9.213186920895241,33.0,64.27305746078491,8,21,7,4,13.0,11.0,9.0,33.0,1.0,True,True
32,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,66.51436223518196,209.27010345458984,7.590616600790806,35.0,40.35554552078247,13,15,8,4,15.0,12.0,8.0,35.0,0.0,True,False
33,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,70.87340494513974,226.10625076293945,8.357371858190746,41.0,39.45170068740845,7,20,9,4,15.0,13.0,13.0,41.0,0.0,True,False
34,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,76.64285739081781,223.56761741638184,8.411797627612017,36.0,57.617435455322266,17,10,9,4,13.0,14.0,9.0,36.0,1.0,True,True
35,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,95.14166490340091,287.0008773803711,7.754613969748095,33.0,73.97641730308533,16,12,8,4,11.0,10.0,12.0,33.0,1.0,True,True
36,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,84.37532396218418,253.1732883453369,9.778224869209527,28.0,65.46255242824554,14,14,7,5,12.0,10.0,6.0,28.0,0.0,True,False
37,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,84.42499563810468,251.77315139770508,7.757374977022409,23.0,69.79722547531128,14,17,5,4,9.0,9.0,5.0,23.0,0.0,True,False
38,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,76.8321397828091,250.5777130126953,10.12264991692938,27.0,48.230167865753174,13,14,11,2,15.0,8.0,4.0,27.0,1.0,True,True
39,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,74.85427014398891,234.98230934143066,6.298757071987726,35.0,48.99514162540436,17,13,6,4,13.0,11.0,11.0,35.0,0.0,True,False
40,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,83.17797146877788,242.23174285888672,8.45601867163293,38.0,63.60104840993881,12,16,7,5,19.0,7.0,12.0,38.0,1.0,True,True
41,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,82.06829325251513,263.4464874267578,9.168156026598439,35.0,51.36341142654419,12,17,8,3,16.0,13.0,6.0,35.0,0.0,True,False
42,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,70.39055033265441,184.82598686218262,9.119139901797475,27.0,65.50381231307983,11,19,8,2,14.0,6.0,7.0,27.0,0.0,True,False
43,small,small_clustered_train_b,train,strict_full,-1.6875,inf,0.0,-0.3375,77.8126010754377,231.47029876708984,9.007955640402622,23.0,62.79237604141235,13,14,7,6,8.0,10.0,5.0,23.0,1.0,True,True
44,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,92.94403449098435,257.596981048584,9.989962917034143,38.0,79.56661486625671,13,17,8,2,16.0,14.0,8.0,38.0,0.0,True,False
45,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,100.2160652031298,300.4792060852051,10.931800191483648,30.0,79.83465957641602,15,14,8,3,18.0,9.0,3.0,30.0,1.0,True,True
46,small,small_clustered_train_b,train,strict_full,-1.4375,inf,0.0,-0.2875,77.80667910718695,221.31144332885742,8.405680805099756,36.0,61.658135414123535,12,15,11,2,18.0,12.0,6.0,36.0,1.0,True,True
47,small,small_clustered_train_b,train,strict_full,-1.75,inf,0.0,-0.35,98.98654562216521,286.7414855957031,10.079239516961575,39.0,79.55600166320801,13,17,7,3,17.0,14.0,8.0,39.0,0.0,True,False
48,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,81.00513511505821,250.93095016479492,8.970718129764869,34.0,55.56200313568115,9,17,10,4,16.0,8.0,10.0,34.0,0.0,True,False
49,small,small_clustered_train_b,train,strict_full,-1.6875,inf,0.0,-0.3375,70.38463984616168,218.14568710327148,8.959611199039593,42.0,41.40895056724548,9,16,10,5,17.0,16.0,9.0,42.0,1.0,True,True
50,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,61.83183594133045,209.32188034057617,7.571221889956109,32.0,30.133038997650146,9,14,12,5,12.0,9.0,11.0,32.0,1.0,True,True
51,small,small_clustered_train_b,train,strict_full,-1.6875,inf,0.0,-0.3375,68.61452135295961,200.16477966308594,7.720730122952349,36.0,49.59354782104492,18,11,10,1,14.0,13.0,9.0,36.0,1.0,True,True
52,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,75.61456764184516,238.01800537109375,6.903571014668606,29.0,52.07563138008118,12,15,8,5,12.0,9.0,8.0,29.0,1.0,True,True
53,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,91.7403186587102,278.36243629455566,8.875187771013751,36.0,67.73198461532593,12,16,7,5,16.0,15.0,5.0,36.0,0.0,True,False
54,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,71.39122450064816,219.26777267456055,8.487980779226497,29.0,50.10018444061279,10,18,9,3,12.0,9.0,8.0,29.0,1.0,True,True
55,small,small_balanced_train_a,train,strict_full,-1.625,inf,0.0,-0.325,74.34632348657165,250.5030517578125,8.680721744229086,30.0,41.27392244338989,12,14,10,4,11.0,12.0,7.0,30.0,0.0,True,False
56,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,71.27459004558831,243.71508026123047,8.305047228445112,31.0,36.676411390304565,5,20,11,4,12.0,12.0,7.0,31.0,0.0,True,False
57,small,small_clustered_train_b,train,strict_full,-1.5625,inf,0.0,-0.3125,67.42008663939565,218.38246536254883,8.230167207102477,36.0,37.243900299072266,15,12,10,3,22.0,3.0,11.0,36.0,1.0,True,True
58,small,small_clustered_train_b,train,strict_full,-1.5,inf,0.0,-0.3,67.50801896875947,214.45872116088867,8.54848509953469,39.0,37.76644420623779,11,17,8,4,14.0,16.0,9.0,39.0,0.0,True,False
59,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,95.22793418984097,312.93314361572266,10.413880783494376,29.0,61.896323680877686,11,16,9,4,12.0,13.0,4.0,29.0,1.0,True,True
60,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,77.7526322376497,275.75202560424805,9.120408281639964,19.0,42.445363998413086,12,13,10,5,11.0,5.0,3.0,19.0,0.0,True,False
61,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,65.71251409650631,192.92665481567383,7.968426421633734,35.0,46.333744525909424,9,16,14,1,18.0,13.0,4.0,35.0,1.0,True,True
62,small,small_clustered_train_b,train,strict_full,-1.6875,inf,0.0,-0.3375,66.61538075040988,224.0946044921875,9.205606236371025,25.0,37.38834619522095,10,15,10,5,13.0,8.0,4.0,25.0,0.0,True,False
63,small,small_balanced_train_a,train,strict_full,-1.4375,inf,0.0,-0.2875,55.51307249341879,169.40024757385254,6.348436459250935,36.0,32.908339500427246,12,11,11,6,15.0,12.0,9.0,36.0,1.0,True,True
64,small,small_clustered_train_b,train,strict_full,-1.625,inf,0.0,-0.325,57.33478971653805,198.509033203125,7.876317589037865,21.0,29.644298791885376,13,11,13,3,7.0,7.0,7.0,21.0,1.0,True,True
65,small,small_balanced_train_a,train,strict_full,-1.5625,inf,0.0,-0.3125,53.978783437760626,161.63647937774658,7.187924241415411,29.0,36.034756660461426,8,13,15,4,15.0,8.0,6.0,29.0,1.0,True,True
66,small,small_balanced_train_a,train,strict_full,-1.5,inf,0.0,-0.3,69.46441796259947,246.97631072998047,8.782529452279583,32.0,29.781624794006348,7,16,12,5,14.0,12.0,6.0,32.0,1.0,True,True
