topology_id,benchmark,pool_type,constraint_mode,avg_reward,std_reward,avg_cost,std_cost,valid_rate,structural_validity_rate_at_reset,strict_feasible_rate_at_reset,avg_processing_cost,avg_routing_cost,avg_reconfiguration_cost,avg_sla_penalty,split_s1_pct,split_s2_pct,split_s3_pct,split_s4_pct
small_balanced_train_a,small,train,strict_full,-1.625,0.0,inf,inf,0.0,1.0,0.0,49.18786735534668,1.7032633401872217,0.0,9.466369581222533,0.375,0.375,0.125,0.125
small_clustered_train_b,small,train,strict_full,-1.5,0.0,inf,inf,0.0,1.0,0.0,49.18786735534668,1.2097921033757555,0.0,6.499093246459961,0.375,0.375,0.125,0.125
small_sparse_test_a,small,test,strict_full,-1.6875,0.0,inf,inf,0.0,1.0,0.0,49.18786735534668,3.2490179421519487,0.0,21.217416763305664,0.5,0.375,0.125,0.0
small_direct_test_b,small,test,strict_full,-1.6875,0.0,inf,inf,0.0,1.0,0.0,49.18786735534668,2.042931999373324,0.0,14.367090606689453,0.5,0.375,0.125,0.0
